עיתונות; צַחַאפֵה صحافة
נקודה; נֻקְטַה نقطة
בדיחה; נֻכְּתֵה نكتة
מצב; וַצְ׳ע وَضْع
מִפְעָל, בֵּית חֲרוֹשֶׁת; מַצְנַע مصنع
רַעַל; סַםّ سَمّ
אֱמֶת; חַקִיקַה حَقِيقَة
חינוך (תחום עיסוק); תַרְבִּיֵה تربية
נַעֲלַיִים (זוג); כֻּנְדַרַה كُنْدَرَة
תקופה; פַתְרַה فَتْرَة
כישלון, פשלה; פַשְלֵה فشلة
פּוֹלִיטִיקָה, מְדִינִיּוּת; סִיַאסֵה سِيَاسِة
מִפְגַּש; לִקַאא لِقَاء
קורס; דַוְרַה دورة
חוג; קִסֵם قسم
בָּשָׂר; לַחְם لَحْم
חציל, חצילים; בַּאתֵנְגַ׳אן باتنجان
חֲטִיבַת בֵּינַיִים; אִעְדַאדִיֶה إعدادية
סִיפּוּר; קֻצַّה قُصَّة
תאונה; חַאדֵת׳ حادث
שֵׁירוּת (תפקיד או מעשה הנועד לשרת ציבור); חִ׳דְמֵה خدمة
גָּדָה;  צַ׳פֵّה ضفة
יַיִן; נְבִּיד׳ نْبِيذ
מַדְרִיךְ; מֻרְשֵד مرشد
פגישה, ישיבה; גַ׳לְסֵה جلسة
מיטה; תַחְ׳ת تَخْت
מכנה משותף; קַאסֵם מֻשְתַרַכּ قاسم مشترك
חוּפְשָׁה; עֻטְלֵה عُطْلِة 
תאומים; תוֹם توم
אִישִׁי, פְּרָטִי; שַחְ׳צִי شَخْصِي
ראיון, פגישה; מֻקַאבַּלֵה مُقَابَلِة
בַּרְזֶל (מתכת); חַדִיד حَدِيد
פָּקִיד (עובד במשרה משרדית); מֻוַטַّ׳ף مُوَظَّف
נֶשֶק (כלי יריה); סִלַאח سلاح
כְּפָר; קַרְיֵה قَرْيِة
רווקה; עַזַّאבִּיֵّה عزّابيّة
רווק; עַזַّאבִּי عَزَّابِي
אירוסין; חֻ׳טְבֵּה خطبة 
תְּמִיכָה; דַעְם دَعْم
עוּבְדָּה; חַקִיקַה حَقِيقَة
הצהרה; בַּיַאן بيان
חשמל; כַּהְרַבַּא كَهْرَبَا
תקציב, מאזן; מִיזַאנִיֵّה ميزانيّة
מחאה; אִחְתִגַ׳אג إِحْتِجَاج
אֶבֶן; חַגַ׳ר حَجَر
חוּט; חֵ׳יט خيط
משי, בד משי; חַרִיר حَرِير
פעולה, ניתוח; עַמַלִיֵّה عمليّة
לֶחֶם; חֻ׳בְּז خُبْز
פֶּה (איבר בפנים); תֻםّ تم
שטח; מַסַאחָה مساحة
פנים, פרצוף; וִשّ وشّ 
מחסום; חַאגֵ׳ז حَاجِز
הַתְחָלָה; בִּדַאיֵה بِدَايِة
מִבְטָא; לַפֵט׳ لفظ
קֶמַח; טְחִין طْحِين
רגע; לַחְטַ׳ה لحظة
ב‎ד; קְמַאש قْمَاش
סְפּוֹרְט, פעילות גופנית (תחרותי או אישי); רִיַאצַ׳ה رِيَاضَة
צַד; טַרַף طرف
יכולת, הספק; קֻדְרַה قدرة
שׁוּעָל; תַ׳עְלַבּ ثَعْلَب
הַפְסָקָה, מְנוּחָה; אִסְתִרַאחַה إستراحة
אלרגיה, רגישות; חַסַّאסִיֵّה حسّاسيّة
שחייה; סְבַּאחַה سباحة
חשיבה; תַפְכִּיר تفكير
בִּיטוּחַ; תַאְמִין تَأْمِين
חגורת בטיחות; חִזַאם אֵלְאַמַאן حزام الأمان
כַּלְכָּלָה; אִקְתִצַאד إِقْتِصَاد
תרבות; תַ׳קַאפֵה ثَقَافِة
משא ומתן; מֻפַאוַצַ׳את مفاوضات
קוֹאָלִיצְיָה; אִאְתִלַאף إِئْتِلَاف
מָתֵמָטִיקָה; רִיַאצִ׳יַאת رِيَاضِيَات
גרב; כַּלְסֵה كلسة 
דיון; מֻנַאקַשֵה مناقشة
מִרְפָּאָה; עִיַאדֵה عِيَادِة
גן ילדים, גן; רַוְצַ׳ה روضة 
בקשה, דרישה; מֻטַאלַבֵּה مُطَالَبِة
גבות; חַוַאגֵ׳בּ حَوَاجِب
צִיוּן; עַלַאמֵה علامة
עֵדוּת; שַהַאדֵה شَهَادِة
מתנחל; מֻסְתַוְטֵן مستوطن
בית מרקחת; צַיְדַלִיֵّה  صيدليّة
מולדת; וַטַן وطن
בשר טחון; מַפְרוּם مفروم
מַחְשֵׁב; חַאסוּבּ حَاسُوب 
נֵר; שַמְעַה شَمْعَة 
פָּלִיט; לַאגֵ׳אְ لَاجِئ 
שְׂמֹאל; יַסַאר يَسَار 
עַם; שַעֵבּ شعب
תֶּרֶד (ירק עלי); סַבַּאנֵח׳ سَبَانِخ
גויאבה; גַ׳וַאפֵה 
אֶבֶל; חְדַאד حداد
אבק; עַ׳בַּרַה غبرة
גזענות; עֻֻֻנצֻרִיֵّה عنصريّة
תולעת; דוּדֵה دُودِة
מתווך, מגשר; וַסִיט وسيط
מתווך (דירות / עסקאות); סֻמְסַאר سمسار 
תאריך; תַארִיח׳ تاريخ
אפריקה; אַפְרִיקְיַא افريقيا
סיעוד; תַמְרִיץ׳ تمريض
הצלה; אִנְקַאד׳ إنقاذ 
טִיפּוּל (רפואי); עִלַאג׳ عِلَاج
מַעֲבָּדָה; מֻחְ׳תַבַּר مُخْتَبَر
אוכלוסייה; סֻכַּّאן سكّان 
טיול; מִשְוַאר مِشْوَار
מְקָרֵר; תַ׳לַّאגֵ׳ה ثَلَّاجِة
דִּיכָּאוֹן; אִכְּתִאַאב إِكْتِئَاب
חפיסת קלפים; שַדֵّה شدّة
עישון; תַדְחִ׳ין تدخين
סוד; סִרّ سرّ
ביטוי, מושג; מֻצְטַלַח مصطلح
אוצר; כַּנְז كنز
גג, תקרה; סַקְף سَقْف
מהפכה; תַ׳וְרַה ثورة
מַפָּל (מפל מים); שַלַّאל شلّال
ממונה, אחראי; מַסְאוּל مسؤول
נִיסָּיוֹן (לעשות משהו ספציפי); מֻחַאוַלֵה مُحَاوَلِة
אזרחות; גִ׳נְסִיֵّה جنسيّة
לכלוך, זוהמה; וַסַאחַ׳ה وساخة
מצפון; צַ׳מִיר ضمير
שליח; רַסוּל رسول
מוּזֵיאוֹן; מַתְחַף مَتْحَف
כיבוש; אִחְתִלַאל إحتلال
רֶקָע; חַ׳לְפִיֵّה خَلفِيِّة
רְחוֹבוֹת; שַוַארֵע شَوَارِع
חינוך (בבית, גידול ילדים); תִרְבַּאיֵה تِرْبَايِة
צילום; תַצְוִיר تصوير
צַעַר, עֶצֶב, אֵבֶל; חֻזֻן حزن
סַפָּה; כַּנַבַּאי كَنَبَاي
עינוי; תַעְדִ׳יבּ تعذيب
עִיצּוּב; תַצְמִים تصميم
מרשם; וַצְפֵה وصفة
רציפות, המשכיות, רֶצֶף; אִסְתִמְרַארִיֵّה إستمراريّة
רשות מקומית; סֻלְטָה מָחָלִיֶה سلطة محلّيّة
תְּמָנוּן; אַחְ׳טַבּוּט أًخْطَبُوط
אַגָּדָה; אֻסְטוּרַה أُسْطُورَة
הגדה המערבית; אֵ(ל)צַّ׳פֵّה (א)לְעַ׳רְבִּיֵّה الضّفّة الغربيّة
סיכוי; אִמְכַּאנִיֵّה إمكانيّة
סיכון; מֻחַ׳אטַרַה مُخَاطَرَة
אוויר; הַוַא هَوَا
סיור; דַוְרִיֵّה دوريّة
שיתוק; שַלַל شلل
שכוֹל; תַ׳כַּל ثكل 
מילה נרדפת; מֻרַאדִפֵה مرادفة
נרמול יחסים, נורמליזציה; תַטְבִּיע تَطْبِيع
נציג; מֻמַתֵّ׳ל ممثّل
חור; חֻ׳זֻק خزق
נקמה; תַ׳אר ثار
תשלום; דַפְע دَفْع
תַּחֲרוּת; מֻנַאפַסֵה مُنَافَسِة
מָנָה (חלק מסעודה); וַגְ׳בֵּה وَجْبِة
מחזה, הצגה (בתיאטרון); מַסְרַחִיֵّה مسرحية
צב; סֻלְחֻפַאה سلحفاة
שריפה; חַרִיקַה حريقة 
תּוֹרָה (ספר); אִ(ל)תַّוְרַאה إِلتَّوْرَاة
שִׂיחָה; חַדִית׳ حَدِيث
סגול; בַּנַפְסַגִ׳י بنفسجي
שמיכה; בַּטַאנִיֵّה بطانيّة
כּדוּר (תרוּפה); חַבֵּّה حبّة
