מַחְשֵׁב; כַּמְבְּיוּתֵר كمبيوتر
נַעֲלַיִים (זוג); צֻרְמַאיֵה صرماية 
חציל, חצילים; בַּאתֵנְגַ׳אן باتنجان
עגבניות; בַּנְדוֹרַה بندورة
יָשָׁר (כיוון); דֻעְ׳רִי دُغْرِي
חדר; אוֹצַ׳ה أوضة
מתכנת, תוכניתן; מֻבַּרְמֵג׳ مبرمج
תוכנית; בַּרְנַאמַג׳ برنامج
חוּלְצָה; בְּלוּזֵה بْلُوزِة
אוטובוס; בַּאץ بَاص
טֵלֵוִיזְיָה; תִלְפִזְיוֹן تِلْفِزْيُون
נֵהָג (מי שנוהג ברכב); שוּפֵיר شُوفِير
חשמל; כַּהְרַבַּא كَهْرَبَا
מִכְנָסַיִים; בַּנְטַלוֹן بَنْطَلُون
מונית; תַכְּסִי تكسي
רופא; דַכְּתוֹר دكتور
מהנדס; מֻהַנְדֵס مهندس
מעלית; מַצְעַד مَصْعَد
סֶרֶט (בקולנוע); פִלְם فِلْم
טֶלֶפוֹן, טלפון סלולרי; תַלֵפוֹן تلفون 
פֶסְטִיבָל; מַהְרַגַ׳אן مَهْرَجَان
שולחן; טַאוְלֵה طَاوْلِة
חוּלְצָה (לרוב מכופתרת); קַמִיץ قَمِيص
בית מרקחת; צַיְדַלִיֵّה  صيدليّة
תּוּת, תּוּתִים (תּוּת שָׂדֶה); פַרַאוְלֵה فَرَاوْلِة
דוגמה; נַמוּדַ׳ג׳ نموذج
סיכוי; מַגַ׳אל مجال 
קָסְקֶט (כובע); כַּאסְכֵּית كاسكيت
אוֹפַנַּיִים; בִּסִכְּלֵית بِسِكْلِيت
דּוֹאַר; בּוֹסְטַה بوسطة
אטריות, פסטה; מַעְכַּרוֹנֵה معكرونة
אינטרנט; אִנְתֵרְנֵת انترنت
מִשְׁטָרָה; שֻרְטַה شُرْطَة
כריך, סנדוויץ׳, מנה בפיתה; סַנְדְוִישֵה سندويشة
מורֶה; אֻסְתַאד׳ أستاذ 
האפיפיור; אִלְבַּאבַּא البابا
אי-מייל, דואר אלקטרוני; אִימֵיל ايميل
מנורה, נורה; לַמְבַּה لَمْبَة
בנק; בַּנְכּ بنك 
בּלוג (יומן רשת); בְּלוֹג بلوج
פסנתר; בְּיַאנוֹ بيانو
אופנוע; דַרַّאגֵ׳ה נַארִיֵّה درّاجة ناريّة
בית מלון, מלון; פֻנְדֻק فُنْدُق
מִרְפֶּסֶת; בַּלְכּוֹנֶה بَلْكُونِة
מלצר; גַארְסוֹן جارسون
קורס; דַוְרַה دورة
שירותים, בית-שימוש; מַנַאפֵע منافع
סוּפֶּר, סוּפֶּרְמַרְקֶט; סוּבֵּרְמַרְכֵּת سوبرمركت
פרלמנט, בית הנבחרים; בַּרְלַמַאן بَرْلَمَان
מיקרופון; מִיכְּרוֹפוֹן ميكروفون
סלון; צַאלוֹן صالون 
מוּזָר; עַ׳רִיבּ غَرِيب
קנס; עַ׳רַאמֵה غرامة
מערב; עַ׳רְבּ غرب
קָטָן; זְעִ׳יר صْغِير 
קנאה; עִ׳ירֵה غيرة
קֶנְגּוּרוּ; כַּנְעַ׳ר كَنْغَر
טָבַע; עִ׳רֵק غِرِق
התפלא; תְעַגַّ׳בּ تعجّب
מערה; כַּהְِף كَهْف
עוֹרֵב (ציפור); עֻ׳רַאבּ غُرَاب
מרוקו; אִלְמַעְ׳רֵבּ إِلْمَغْرِب
קצף; רַעְ׳וֵה رغوة
יום הכיפורים; יוֹם אִלְעֻ׳פְרַאן يوم الغفران
הסלחן (אחד מכינוייו של אללה); אַלְ-עַ׳פַّאר الغفّار
קטנים; זְעַ׳אר صغار
רצון; רַעְ׳בֵּה رَغْبِة
כיכר לחם, לחמניה, מנה בפיתה; רְעִ׳יף رغيف
קִינֵא; עַ׳אר غار
אהבה עזה, תשוקה; עַ׳רַאם غَرَام
בורגול; בֻּרְעֻ׳ל بُرْغُل
מרוקאי; מַעְ׳רֵבִּי مغربي
ניפוי; עַ׳רְבַּלֵה غربلة 
מתפלא; מִסְתַעְ׳רֵבּ مستغرب
חֵפֶץ (פריט); עַ׳רַץ׳ غرض
הרפתקה; מֻעַ׳אמַרַה مغامرة
פרעוש; בַּרְע׳וּת׳ برغوث
בגידה; חְ׳יַאנֵה خيانة 
טובע; עַ׳רְקַאן غرقان
מקנא; עַ׳יְרַאן غيران
שחצן, יהיר; מַעְ׳רוּר مَغْرُور
חשמלאי; כַּהְרַבְּגִ׳י كَهْرَبْجِي
שרברב, אינסטלטור; מַוַאסִרְגִ׳י مواسرجي
טייח; קַצַّארְגִ׳י قصارجي
ירקן; חֻ׳צַ׳רְגִ׳י خضرجي
סַנְדְּלָר (מתקן נעליים); כֻּנְדַרְגִ׳י كُنْدَرْجِي
מהמר; קַמִרְגִ׳י قمرجي
פנצ׳ר מאכר, מתקן תקרים (מקצוע); בַּנְשַרְגִ׳י بنشرجي
דַּוָּור; בּוֹסְטַגִ׳י بوسطجي
יקרן; עַ׳לְוַגִ׳י غلوجي
מוכר מתוקים; חַלַוַאנְגִ׳י حلوانجي
גנן (בגינה, מקצוע); בֻּסְתַנְגִ׳י بستنجي
מחסנאי; מַחְ׳זַנְגִ׳י مخزنجي
דברן, ברברן; חַכְּוַגִ׳י حكوجي
מכין הקפה (מקצוע); קַהְוַגִ׳י قهوجي
רמאי, נוכל; אַוַנְטַגִ׳י أونطجي
כַּנָּר, נגן כינור; כַּמַאנְגִ׳י كمانجي
אִינְטֵרֵסַנְט (דואג רק לאינטרסים של עצמו); מַצְלַחְגִ׳י مصلحجي
בדחן (מספר בדיחות); נֻכַּתְגִ׳י نكتجي 
עושה בעיות, בעייתי (אדם); מַשְכַּלְגִ׳י مشكلجي
מערבי, אירופאי, זר; פְרַנְגִ׳י فرنجي
אלכוהוליסט (מכור לאלכוהול); סִכַּרְגִ׳י سكرجي
מִפְעָל, בֵּית חֲרוֹשֶׁת; מַצְנַע مصنع
מִקְדָּשׁ, בֵּית תְּפִילָּה; מַעְבַּד مَعْبَد
בֵּית סֵפֶר; מַדְרַסֵה مَدْرَسِة
בֵּית כְּנֶסֶת; כַּנִיס كَنِيس
בֵּית מִשְׁפָּט, בֵּית דִּין; מַחְכַּמֵה مَحْكَمِة
מִפְעָל, בֵּית מְלָאכָה; מַעְמַל معمل
בֵּית חוֹלִים; מֻסְתַשְפַא مستشفى
קולנוע, בית קולנוע; סִינַמַא سِينَمَا
כֶּלֶא, בית סוהר; סִגְ׳ן سِجْن
בית קפה; קַהְוֵה قَهْوِة
בית דפוס; מַטְבַּעַה مَطْبَعَة
בית אבות; דַאר מֻסִנִّין دار مسنين
בֵּית בַּד (מפעל להפקת שמן זית); מַעְצַרַה معصرة 
בֵּית מֶרְחָץ (מבנה המשמש לרחצה); חַמַّאם حمّام
משחטה, בית מטבחיים; מַסְלַח׳ مسلخ
בית יתומים; דַאר אַיְתַאם دار أيتام
בית בושת, בית זונות; כַּרַחַ׳אנֵה كرخانة
בית קברות, בית עלמין; מַקְבַּרַה مقبرة
בֵּית זִיקּוּק (מפעל לעיבוד נפט); מִצְפַאה مصفاة 
קַיִץ; צֵיף صِيف 
חוּפְשָׁה; עֻטְלֵה عُطْلِة 
טיול; שָׁמֶّת הַוַא شمّة هوا
חוֹף; שַטّ شَطّ 
יָם; בַּחַר بَحَر
גְּלִידָה; בּוּטַ׳ה بُوظَة
אֲבַטִּיחַ; בַּטִّיחַ׳ה بَطِّيخَة
שֶׁמֶשׁ; שַמְס شَمْس
מְאַוְורֵר (מכשיר חשמלי); הַוַّאי هَوَّاي 
שִׁמְשִׁייָּה; שַמְסִיֵّה شَمْسِيِّة
מַזְגָּן; מֻכַּיֵّף مُكَيِّف 
בְּרֵיכָה; בִּרְכֵּה بِرْكِة 
כַּפְכָּפִים; שִבְּשֵבּ شِبْشِب
חופשה (מלימודים); פֻרְצַה فرصة
קַרְחוֹן (מעדן קרח על מקל); אַרְתִכּ תַ׳לְג׳ أَرْتِك ثَلْج
אַרְטִיק, שִׁלְגּוֹן (מעדן גלידה על מקל); אַרְתִכּ חַלִיבּ أَرْتِك حَلِيب
מִשְׁקְפֵי שֶׁמֶשׁ; נַטַ׳ארַאת שַמְס نَظَارَات شَمْس
חֶבְרָה, קְהִילָּה; מֻגְ׳תַמַע مُجْتَمَع
שבוע; אֻסְבּוּע أسبوع
אוּנִיבֶרְסִיטָה; גַ׳אמְעַה جَامْعَة
יוֹם שִׁישִׁי; יוֹם אֵלְגֻ׳מְעַה يوم الجمعة
חבר׳ה, חבורה; גַ׳מַאעַה جماعة
מפגש, אסיפה; אִגְ׳תִמַאע إجتماع
כֹּל; גַ׳מִיע جَمِيع
קְבוּצָה; מַגְ׳מוּעַה مَجْمُوعَة
מִסְגָּד; גַ׳אמֵע جَامِع
רבים, ריבוי (בדקדוק); גַ׳מְע جَمْع
חֶבְרָתִי; אִגְ׳תִמַאעִי إِجْتِمَاعِي
אוֹסֶף (מצבור חפצים שאדם אוסף); מַג׳מוּעַה مَجْمُوعَة
נפגש, התאסף; אִגְ׳תַמַע اجتمع
סוציולוגיה (מדעי החברה); עִלְם (א)לאִגְ׳תִמַאע علم الإجتماع
במשך, תוך כדי; חִ׳לַאל خلال 
לפי, על פי; חַסַבּ حَسَب
כְּמוֹ; מִתֵ׳ל مثل
רוֹב; אַעְ׳לַבִּיֵّה أَغْلَبِيِّة
בפנים; גֻ׳וַّא جوّا
ללא, בלי;  בִּדוּן بدون 
